Sample Number,Sample Submission Date,Sample Name,Sex,Tissue weight (mg),Treatment,Tissue Type,PND,Litter,Individual Lipid Species,Lipid Class,"MRM Transition of each lipid species
(Parent ion / Fragment ion)",Lipid Species used as Internal Standard,Retention Time (min),Peak Area of Lipid Species,Peak Area of Internal Standard,Normalized Peak Area (Peak Area of Lipid Species / (Peak Area of Internal Standard * Tissue Weight))
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(14:0)+H,SM,675.5 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.7375132843148,4116175.50375127,41656588.6499875,0.000841558209510796
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(16:0)+H,SM,703.6 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.66291369617,24337225.6131003,41656588.6499875,0.00638981160594484
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(18:0)+H,SM,731.6 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.5801587546694,143247764.589006,41656588.6499875,0.0369892566838129
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(18:1)+H,SM,729.6 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.5723027788348,126832322.406,41656588.6499875,0.0463198436737581
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(20:0)+H,SM,759.6 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.486523020484,5419340.4125,41656588.6499875,0.0011674907629049
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(20:1)+H,SM,757.6 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.4725699354223,6447042.34631532,41656588.6499875,0.00199617359484342
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(22:1)+H,SM,785.7 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.4117458059012,4493429.52008193,41656588.6499875,0.00147821740096209
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(24:0)+H,SM,815.7 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.3497353452088,6606594.43704268,41656588.6499875,0.00137274962145973
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(24:1)+H,SM,813.7 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.3737914355808,21332814.1494583,41656588.6499875,0.00558103873713182
1,09/2021,C20M1S,M,56,control,striatum,30,C20,SM(26:0)+H,SM,843.7 / 184.1,SM(18:1)+H_d9_SPLASH.IS,12.0593254756127,1190903.68829966,41656588.6499875,0.000103082503385401
