,lipid,fc,p,Sex1,Sex2
0,SM(14:0)+H,1.008105346103493,0.4213898487790907,M,F
1,SM(16:0)+H,1.002153645514165,0.874495702088192,M,F
2,SM(18:0)+H,1.0016159161242095,0.9572150747652376,M,F
3,SM(18:1)+H,0.9992279554912483,0.9669041830369528,M,F
4,SM(22:1)+H,0.9743723001137199,0.6932584303956004,M,F
5,SM(24:1)+H,0.9991311036552883,0.9736638983644408,M,F
6,SM(26:0)+H,1.0357392320436498,0.4196502704314051,M,F
7,CE(22:6)+H,1.0559210793803668,0.6247527571649595,M,F
8,CE(14:0)+H,1.030938253270504,0.42296058849689844,M,F
9,CE(16:1)+H,0.9994634473760037,0.9928123615632211,M,F
10,CE(18:0)+H,0.9520834120109593,0.49589205481649967,M,F
11,CE(18:1)+H,1.0243146360519095,0.5590008037344651,M,F
12,CE(20:3)+H,1.0037272076084776,0.9526169726107618,M,F
13,CE(20:4)+H,1.035430884214887,0.5908090285094713,M,F
14,CE(20:5)+H,1.0443179472684585,0.398984564931828,M,F
15,CE(22:2)+H,0.9281874774588782,0.12564798168601587,M,F
16,CE(24:1)+H,1.0213724182983408,0.6744917233154367,M,F
17,CER(14:0)+H,1.0281828243646405,0.09842985528339791,M,F
18,CER(18:0)+H,1.0031517938510208,0.8288769387151808,M,F
19,CER(18:1)+H,1.0075661817883714,0.569211919174512,M,F
20,CER(20:0)+H,1.0021522190644592,0.8592963805436216,M,F
21,CER(20:1)+H,1.0151521295774322,0.3528325245618831,M,F
22,CER(24:1)+H,0.9940054834024172,0.7995955637786729,M,F
23,CER(26:1)+H,1.009126208772757,0.6091918924738797,M,F
24,DCER(14:0)+H,1.0153695053673029,0.3627906103220636,M,F
25,DCER(18:0)+H,1.0077802523599697,0.4858813090221342,M,F
26,DCER(22:0)+H,1.0110794010747153,0.5737713471635668,M,F
27,DCER(22:1)+H,0.9885782561834794,0.4697893107349106,M,F
28,DCER(24:0)+H,0.9904858998854423,0.592199385768818,M,F
29,DCER(24:1)+H,0.9839675842315788,0.2647747568513739,M,F
30,DCER(26:0)+H,1.0052628000951875,0.7394196275425907,M,F
31,DCER(26:1)+H,1.007635993800983,0.8061065286076876,M,F
32,HCER(14:0)+H,1.0119510703865664,0.36050600852076997,M,F
33,HCER(16:0)+H,1.0222670486050731,0.1349565948337031,M,F
34,HCER(18:1)+H,1.0183190421123214,0.3274050586865722,M,F
35,HCER(20:0)+H,1.0087355666861704,0.5285498944261817,M,F
36,HCER(20:1)+H,1.0003324812135865,0.9829443361759649,M,F
37,HCER(22:0)+H,1.0028667873233432,0.8315829822743721,M,F
38,HCER(22:1)+H,1.0046932596236984,0.7925862598762934,M,F
39,HCER(24:0)+H,1.0002864697805147,0.9855722366938755,M,F
40,HCER(26:0)+H,0.9767989729947922,0.17366093585332654,M,F
41,HCER(26:1)+H,0.9955262958883159,0.7452212612931215,M,F
42,HCER(d18:0_18:0)+H,0.9854790773984521,0.31977832562243713,M,F
43,HCER(d18:0_22:0)+H,1.025814026879255,0.17364965597731716,M,F
44,HCER(d18:0_24:0)+H,1.007232088332207,0.6199777152442443,M,F
45,HCER(d18:0_24:1)+H,0.9927382069500764,0.5591902958998187,M,F
