Sample Number,Sample Submission Date,Sample Name,Sex,"Tissue weight
(mg)",Treatment,Tissue Type,PND,Litter,Metabolite,"MRM Transition of each lipid species
(Parent ion/Fragment ion)",Metabolite used as Internal Standard,"Retention Time
(min)",Peak Area of Metabolite,Peak Area of Internal Standard,"Normalized Peak Area
(Peak Area of Metabolite / (Peak Area of Internal Standard * Tisue weight))"
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Urea.1,61.0 / 44.0,L-Tryptophan.1.IS,1.95902577964965,53268767.9257001,17927666.0239431,0.0530592212841769
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Ethanolamine.1,62.1 / 44.1,L-Tryptophan.1.IS,9.96234725187988,12878006.8074019,17927666.0239431,0.0128273477968581
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Imidazole.1,69.0 / 42.2,L-Tryptophan.1.IS,2.47815049758657,157607.980282049,17927666.0239431,0.000156987988038349
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Trimethylamine-N-oxide.1,76.0 / 58.1,L-Tryptophan.1.IS,4.87429087922817,11596918.0317988,17927666.0239431,0.0115512985192737
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Glycine.2,76.0 / 30.0,L-Tryptophan.1.IS,6.28352566869465,4631088.05357858,17927666.0239431,0.00461287045655101
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Sarcosine.1,90.0 / 44.0,L-Tryptophan.1.IS,4.4967713324905,64960.6013212761,17927666.0239431,6.47050617928006e-05
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Alanine.1,90.1 / 44.1,L-Tryptophan.1.IS,5.10501119033091,21103312.0220103,17927666.0239431,0.021020296620464
1,09/2021,C20M1S,M,56,control,striatum,30,C20,B-Alanine.1,90.1 / 30.1,L-Tryptophan.1.IS,6.47205952594958,1848149.15581156,17927666.0239431,0.00184087897736151
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Aminobutyric acid(Abu).1,104.1 / 58.0,L-Tryptophan.1.IS,4.05453453201514,3033725.71320337,17927666.0239431,0.00302179175904488
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Aminoisobutyric acid (BAIBA).1,104.1 / 86.0,L-Tryptophan.1.IS,4.67512097429642,663215.621360402,17927666.0239431,0.000660606689119738
1,09/2021,C20M1S,M,56,control,striatum,30,C20,GABA.2,104.2 / 87.1,L-Tryptophan.1.IS,7.0152145232224,292342016.443377,17927666.0239431,0.29119201260234
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Serine.1,106.0 / 60.0,L-Tryptophan.1.IS,6.77121750205324,49705893.0533805,17927666.0239431,0.0495103619127358
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Uracil.1,113.0 / 70.0,L-Tryptophan.1.IS,8.24475410552584,139606.815582579,17927666.0239431,0.000139057635631958
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Creatinine.1,114.0 / 44.0,L-Tryptophan.1.IS,1.81717079342877,23357714.3532756,17927666.0239431,0.0232658306700784
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Proline.1,116.1 / 70.0,L-Tryptophan.1.IS,3.55716819105028,158795801.723087,17927666.0239431,0.158171136872842
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Valine.1,118.0 / 55.1,L-Tryptophan.1.IS,3.19904374746079,18660875.9633833,17927666.0239431,0.0185874685233715
1,09/2021,C20M1S,M,56,control,striatum,30,C20,5-Aminovaleric Acid.1,118.0 / 101.0,L-Tryptophan.1.IS,6.09570002085325,2652300.8547852,17927666.0239431,0.00264186733514373
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Betaine.1,119.1 / 59.0,L-Tryptophan.1.IS,2.93038516679795,11690534.0792542,17927666.0239431,0.0116445463035028
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Homoserine.1,120.0 / 74.0,L-Tryptophan.1.IS,8.60295348352249,185467.363877667,17927666.0239431,0.000184737779456512
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Threonine.1,120.1 / 74.0,L-Tryptophan.1.IS,5.12928137322255,18025864.5807348,17927666.0239431,0.0179549551242083
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Purine.1,121.1 / 93.9,L-Tryptophan.1.IS,2.10673799533653,528870.359002365,17927666.0239431,0.000526789909015523
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Nicotinamide.1,123.1 / 80.0,L-Tryptophan.1.IS,6.90460485834924,163090.728473117,17927666.0239431,0.00016244916840432
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Thymine.1,127.1 / 110.0,L-Tryptophan.1.IS,1.20142940121832,2263054.99918264,17927666.0239431,0.00225415267999774
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Pipecolate.1,130.0 / 84.0,L-Tryptophan.1.IS,6.32057260483798,873203229.116452,17927666.0239431,0.869768255657261
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Hydroxyproline,132.0 / 68.2,L-Tryptophan.1.IS,4.88734537263452,4699213.56887732,17927666.0239431,0.00468072798230374
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Leucine.2,132.1 / 43.1,L-Tryptophan.1.IS,2.24567409133057,13875250.9103169,17927666.0239431,0.0138206689790696
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Isoleucine.2,132.1 / 69.0,L-Tryptophan.1.IS,2.46585123701013,8745268.62995715,17927666.0239431,0.00871086682676204
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Asparagine.1,133.1 / 87.1,L-Tryptophan.1.IS,6.5965227488963,11059427.2831562,17927666.0239431,0.0110159221311769
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Ornithine.1,133.1 / 70.0,L-Tryptophan.1.IS,14.3958989811337,934134.816138563,17927666.0239431,0.00093046015233322
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Adenine.1,136.0 / 119.0,L-Tryptophan.1.IS,1.5290466192134,77666789.5240235,17927666.0239431,0.0773612668784584
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Methylnicotinamide.1,137.0 / 94.0,L-Tryptophan.1.IS,8.10573683333368,11969922.9801208,17927666.0239431,0.0119228361549989
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Hypoxanthine.1,137.1 / 110.0,L-Tryptophan.1.IS,2.02734713415762,239456927.539106,17927666.0239431,0.238514961037735
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Glutamine.1,147.1 / 84.0,L-Tryptophan.1.IS,6.33134050578587,1002748874.45241,17927666.0239431,0.998804299289234
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Lysine.1,147.1 / 84.0,L-Tryptophan.1.IS,14.4665482516907,23770002.1251107,17927666.0239431,0.0236764966000483
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Acetylcholine.1,147.1 / 87.0,L-Tryptophan.1.IS,6.38161827847884,4491250.76968259,17927666.0239431,0.00447358325921307
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Glutamic acid.1,148.1 / 84.0,L-Tryptophan.1.IS,6.22687106399085,655018991.684464,17927666.0239431,0.652442303032065
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Methionine.1,150.1 / 133.0,L-Tryptophan.1.IS,2.70602633841209,24626407.9807599,17927666.0239431,0.0245295335591035
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Guanine.1,152.1 / 110.0,L-Tryptophan.1.IS,2.72333542251071,16523120.5448158,17927666.0239431,0.0164581225252919
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Xanthine.1,153.0 / 110.0,L-Tryptophan.1.IS,1.78251225755277,13532640.3352429,17927666.0239431,0.0134794061523696
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Dopamine.1,154.1 / 137.1,L-Tryptophan.1.IS,2.02093378595326,609807.672832802,17927666.0239431,0.000607408834736989
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Serotonin-NH3.1,160.1 / 115.0,L-Tryptophan.1.IS,6.88999145614049,5573031.15577075,17927666.0239431,0.00555110817900085
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Carnitine (C0),162.0 / 103.0,L-Tryptophan.1.IS,5.36890572184867,1185533.79830484,17927666.0239431,0.00118087019080047
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Methionine sulfoxide.1,166.1 / 74.0,L-Tryptophan.1.IS,5.73567831943396,1564260.84326102,17927666.0239431,0.00155810741379502
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Phenylalanine.1,166.1 / 120.0,L-Tryptophan.1.IS,2.10424888850192,179539792.183294,17927666.0239431,0.178833525416917
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Normetanephrine-H2O.1,166.1 / 121.1,L-Tryptophan.1.IS,4.0256049777284,3302984.0049406,17927666.0239431,0.00328999085281428
1,09/2021,C20M1S,M,56,control,striatum,30,C20,7-methylguanine.1,166.2 / 149.1,L-Tryptophan.1.IS,2.55808732414763,3205252.37306843,17927666.0239431,0.00319264367389694
1,09/2021,C20M1S,M,56,control,striatum,30,C20,1 or 3-Methyl-Histidine.1,170.1 / 109.1,L-Tryptophan.1.IS,6.93832530991742,11244582.2768768,17927666.0239431,0.0112003487692662
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Arginine.1,175.1 / 70.0,L-Tryptophan.1.IS,14.411698050395,57729131.664142,17927666.0239431,0.0575020390143712
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Citrulline.1,176.1 / 159.1,L-Tryptophan.1.IS,7.65965009767585,9554322.744368,17927666.0239431,0.00951673831504717
1,09/2021,C20M1S,M,56,control,striatum,30,C20,N-carbamoyl-L-aspartate.1,177.1 / 74.0,L-Tryptophan.1.IS,3.73021410642313,209133.392465137,17927666.0239431,0.000208310711526044
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Ureidosuccinic acid.1,177.1 / 134.1,L-Tryptophan.1.IS,6.59870590964345,7829636.50344242,17927666.0239431,0.00779883657888001
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Serotonin,177.1 / 160.1,L-Tryptophan.1.IS,6.88890993177711,6840831.3706928,17927666.0239431,0.00681392116993586
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Hippuric acid.1,180.1 / 105.1,L-Tryptophan.1.IS,1.22878060033027,89047.193304542,17927666.0239431,8.8696902861931e-05
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Tyrosine.1,182.1 / 136.0,L-Tryptophan.1.IS,3.46154892054565,89763984.0194004,17927666.0239431,0.0894108738928954
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Phosphorylcholine.1,185.1 / 125.1,L-Tryptophan.1.IS,7.12414482385505,157189.760451192,17927666.0239431,0.000156571413384665
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Homoarginine.1,189.1 / 144.1,L-Tryptophan.1.IS,14.4419385671593,1417088.07175535,17927666.0239431,0.00141151358490795
1,09/2021,C20M1S,M,56,control,striatum,30,C20,Symmetric Dimethylarginine.1,203.1 / 70.0,L-Tryptophan.1.IS,12.6078356088326,5534274.76751191,17927666.0239431,0.00551250424913956
1,09/2021,C20M1S,M,56,control,striatum,30,C20,L-Acetylcarnitine (C2).1,204.0 / 85.0,L-Tryptophan.1.IS,3.16544365730913,323435497.116038,17927666.0239431,0.322163178930181
1,09/2021,C20M1S,M,56,control,striatum,30,C20,3-Indolebutyric acid.1,204.1 / 186.1,L-Tryptophan.1.IS,7.36848247918342,799292.585749401,17927666.0239431,0.00079614835915171
