name,weight,treatment,lipid,lipid_class,area,batch
20231228_Laezza_Lipidomics_#1,106,control,CE(16:0)+H,CE,0.00491,1
20231228_Laezza_Lipidomics_#2,82,control,CE(16:0)+H,CE,0.0109,1
20231228_Laezza_Lipidomics_#3,92,control,CE(16:0)+H,CE,0.0069,1
20231228_Laezza_Lipidomics_#4,105,control,CE(16:0)+H,CE,0.00615,1
20231228_Laezza_Lipidomics_#5,100,control,CE(16:0)+H,CE,0.00362,1
20231228_Laezza_Lipidomics_#6,52,control,CE(16:0)+H,CE,0.00405,1
20231228_Laezza_Lipidomics_#7,86,control,CE(16:0)+H,CE,0.00655,1
20231228_Laezza_Lipidomics_#8,97,control,CE(16:0)+H,CE,0.00317,1
20231228_Laezza_Lipidomics_#9,116,control,CE(16:0)+H,CE,0.00502,1
20231228_Laezza_Lipidomics_#10,101,control,CE(16:0)+H,CE,0.00477,1
20231228_Laezza_Lipidomics_#11,135,deltamethrin,CE(16:0)+H,CE,0.00696,1
20231228_Laezza_Lipidomics_#12,99,deltamethrin,CE(16:0)+H,CE,0.00717,1
20231228_Laezza_Lipidomics_#13,113,deltamethrin,CE(16:0)+H,CE,0.00226,1
20231228_Laezza_Lipidomics_#14,94,deltamethrin,CE(16:0)+H,CE,0.00245,1
20231228_Laezza_Lipidomics_#15,113,deltamethrin,CE(16:0)+H,CE,0.00698,1
20231228_Laezza_Lipidomics_#16,111,deltamethrin,CE(16:0)+H,CE,0.0095,1
20231228_Laezza_Lipidomics_#17,104,deltamethrin,CE(16:0)+H,CE,0.00473,1
20231228_Laezza_Lipidomics_#18,97,deltamethrin,CE(16:0)+H,CE,0.00971,1
20231228_Laezza_Lipidomics_#19,101,deltamethrin,CE(16:0)+H,CE,0.0194,1
20231228_Laezza_Lipidomics_#20,126,deltamethrin,CE(16:0)+H,CE,0.00487,1
20231228_Laezza_Lipidomics_#1,106,control,CE(16:1)+H,CE,0.00934,1
20231228_Laezza_Lipidomics_#2,82,control,CE(16:1)+H,CE,0.00598,1
20231228_Laezza_Lipidomics_#3,92,control,CE(16:1)+H,CE,0.00667,1
20231228_Laezza_Lipidomics_#4,105,control,CE(16:1)+H,CE,0.00525,1
