,lipid,fc,p,PND1,PND2
0,SM(14:0)+H,0.9752085388400803,0.01067622083629766,30,60
1,SM(16:0)+H,1.0090603264077194,0.5072030335641387,30,60
2,SM(18:0)+H,1.0514671683948407,0.09213556592339742,30,60
3,SM(18:1)+H,1.0045317178233855,0.8080440192098096,30,60
4,SM(22:1)+H,1.0692044544276584,0.3097296775599367,30,60
5,SM(24:1)+H,1.0919590304629985,0.0004902396684312645,30,60
6,CE(22:6)+H,1.1526468552674065,0.20006090774330948,30,60
7,CE(14:0)+H,0.9825716103059207,0.6446068652045881,30,60
8,CE(16:1)+H,1.0824612448764221,0.18306184790508148,30,60
9,CE(18:0)+H,1.111433132462694,0.14023484839441927,30,60
10,CE(18:1)+H,0.9651936797134065,0.38653763053022183,30,60
11,CE(20:3)+H,1.0364188621242176,0.5666533252656127,30,60
12,CE(20:4)+H,1.0259515443532787,0.6925102376619929,30,60
13,CE(20:5)+H,1.0252861058232465,0.6261813599026624,30,60
14,CE(22:2)+H,0.9711421931055225,0.55199143396873,30,60
15,CE(24:1)+H,0.9449329260884589,0.2622923163099954,30,60
16,CER(14:0)+H,0.997599060442997,0.8884457709670663,30,60
17,CER(18:0)+H,0.9985509965115296,0.9206741204422468,30,60
18,CER(18:1)+H,1.0062267782785335,0.6393668268945898,30,60
19,CER(20:0)+H,1.0274810769903882,0.02279635395002685,30,60
20,CER(20:1)+H,1.0491829730659465,0.0022388809880363953,30,60
21,CER(24:1)+H,1.054505911691869,0.02239449303289099,30,60
22,CER(26:1)+H,1.0329902854360584,0.0630989142820144,30,60
23,DCER(14:0)+H,1.0198718386088133,0.23716149555703706,30,60
24,DCER(18:0)+H,1.0195709559670254,0.0785590163383456,30,60
25,DCER(22:0)+H,1.026436376973395,0.18038869096125568,30,60
26,DCER(22:1)+H,1.0146765384763743,0.3580396298230879,30,60
27,DCER(24:0)+H,1.0301968811255697,0.09076152917389485,30,60
28,DCER(24:1)+H,1.0376378934685986,0.009331128610223378,30,60
29,DCER(26:0)+H,1.0078675563656914,0.6208952050584753,30,60
30,DCER(26:1)+H,1.0357603548948653,0.2582113463982647,30,60
31,HCER(14:0)+H,1.0332308746223724,0.00937663880975854,30,60
32,HCER(16:0)+H,1.015912784285639,0.2867848387559299,30,60
33,HCER(18:1)+H,1.0198125176771065,0.2895855389988181,30,60
34,HCER(20:0)+H,1.022016803243979,0.11034293080462483,30,60
35,HCER(20:1)+H,1.0209047122658477,0.1805585460120828,30,60
36,HCER(22:0)+H,1.0277304519641595,0.03752501244596897,30,60
37,HCER(22:1)+H,1.0494641645617084,0.005331830453282007,30,60
38,HCER(24:0)+H,1.0174322757690766,0.27206629684662115,30,60
39,HCER(26:0)+H,1.0454843127421984,0.007969164413112993,30,60
40,HCER(26:1)+H,1.025139537410742,0.06701650294095486,30,60
41,HCER(d18:0_18:0)+H,1.0023090240366297,0.8759974767614315,30,60
42,HCER(d18:0_22:0)+H,1.0314315957526399,0.09703472791749748,30,60
43,HCER(d18:0_24:0)+H,1.0298862368759212,0.03812588113048517,30,60
44,HCER(d18:0_24:1)+H,1.0262920144884893,0.03337039189613328,30,60
45,LCER(14:0)+H,1.031038211204576,0.029254373216189768,30,60
46,LCER(16:0)+H,1.0075430114096728,0.6514641173128193,30,60
47,LCER(18:0)+H,1.0181746549739896,0.299629573129295,30,60
48,LCER(26:1)+H,1.0180463589626871,0.528960225309149,30,60
49,LCER(d18:0_20:0)+H,1.0438124059046407,0.0897126277276836,30,60
50,TAG(44:1_FA16:1)+NH4,1.0104958416626828,0.8258874677713504,30,60
51,TAG(44:2_FA16:1)+NH4,0.9807997296317945,0.6629038667471715,30,60
52,TAG(44:3_FA18:2)+NH4,1.113013374878523,0.03673928141352413,30,60
53,TAG(45:1_FA16:0)+NH4,1.0135631220709445,0.8029797264707295,30,60
54,TAG(46:0_FA18:0)+NH4,1.0007701576959793,0.9877298786568969,30,60
55,TAG(46:1_FA18:1)+NH4,0.9944548343554429,0.9210556522789665,30,60
56,TAG(46:2_FA16:1)+NH4,0.9778161409414386,0.6693671727421955,30,60
57,TAG(46:2_FA18:1)+NH4,1.0210484359174754,0.6594671922038055,30,60
58,TAG(46:2_FA18:2)+NH4,0.9905518043925909,0.8661894347817719,30,60
59,TAG(46:3_FA16:1)+NH4,0.9869197340672275,0.800818949679778,30,60
60,TAG(46:3_FA18:1)+NH4,1.1282169355461595,0.08242451376973275,30,60
61,TAG(46:3_FA18:2)+NH4,1.0416256469340441,0.5136765930912788,30,60
62,TAG(46:3_FA18:3)+NH4,1.0473967892855918,0.4353166806348163,30,60
63,TAG(46:4_FA18:2)+NH4,1.0761568103732908,0.19515868784307824,30,60
64,TAG(47:0_FA17:0)+NH4,0.988255587951931,0.8078267482071736,30,60
65,TAG(47:1_FA17:0)+NH4,1.097391987880783,0.03369077179914761,30,60
66,TAG(48:1_FA14:0)+NH4,0.9997689446164071,0.9970135430537403,30,60
67,TAG(48:1_FA16:0)+NH4,0.990244336687899,0.7441140482276994,30,60
68,TAG(48:1_FA16:1)+NH4,1.0274389703027755,0.6318024547012252,30,60
69,TAG(48:2_FA14:0)+NH4,0.9974514240940143,0.9567947050367891,30,60
70,TAG(48:2_FA16:1)+NH4,0.9920534498290667,0.8597133377059364,30,60
71,TAG(48:3_FA14:0)+NH4,1.1124651312117755,0.05472169634583519,30,60
72,TAG(48:3_FA16:1)+NH4,1.1591136423318629,0.030343643730413206,30,60
73,TAG(48:3_FA18:1)+NH4,1.123306225309413,0.2829341036016172,30,60
74,TAG(48:3_FA18:2)+NH4,0.9829785421485566,0.8471725674199491,30,60
75,TAG(48:4_FA18:2)+NH4,1.0395902285123977,0.6054606840664942,30,60
76,TAG(48:4_FA18:3)+NH4,1.0678444776955067,0.2492012897157039,30,60
77,TAG(48:5_FA18:3)+NH4,1.1479139411590924,0.0492325680440414,30,60
78,TAG(49:1_FA17:0)+NH4,1.059263023903986,0.4097775356468347,30,60
79,TAG(49:2_FA16:1)+NH4,0.983357884181911,0.8074290642927671,30,60
80,TAG(49:2_FA18:2)+NH4,0.9875144719205868,0.8328532425945427,30,60
81,TAG(49:3_FA16:1)+NH4,1.0369662167612814,0.49977848058165797,30,60
82,TAG(50:0_FA16:0)+NH4,0.9571372858447318,0.45611613178052857,30,60
83,TAG(50:1_FA16:0)+NH4,1.0776940279543017,0.17387729934226023,30,60
84,TAG(50:1_FA18:1)+NH4,1.0047260741963815,0.9651412200278866,30,60
85,TAG(50:2_FA14:0)+NH4,0.9660800568308128,0.5685630822567547,30,60
86,TAG(50:2_FA16:0)+NH4,1.0393393178951846,0.5549622545723409,30,60
87,TAG(50:2_FA16:1)+NH4,1.111497237672487,0.08196422082633807,30,60
88,TAG(50:2_FA18:1)+NH4,1.0878863066441455,0.2940334325418332,30,60
89,TAG(50:2_FA18:2)+NH4,1.0049442903104495,0.9373470948660164,30,60
90,TAG(50:3_FA16:1)+NH4,1.1925796527480574,0.022053076563751956,30,60
91,TAG(50:3_FA18:1)+NH4,0.9902516786890625,0.8471791737219444,30,60
92,TAG(50:3_FA18:2)+NH4,1.1225947711524007,0.08542527680569263,30,60
93,TAG(50:3_FA18:3)+NH4,1.0826467763209024,0.259378365013365,30,60
94,TAG(50:4_FA16:1)+NH4,1.2105079003484607,0.021125689025136642,30,60
95,TAG(50:5_FA14:0)+NH4,1.0583864425916136,0.6217326292155134,30,60
96,TAG(50:5_FA18:3)+NH4,1.0543827603513871,0.4717854867781467,30,60
97,TAG(51:0_FA17:0)+NH4,1.0671303324787167,0.30296563988598646,30,60
98,TAG(51:2_FA16:1)+NH4,0.9876957025424972,0.8620854893324807,30,60
99,TAG(51:3_FA18:2)+NH4,1.1550298985902965,0.10499175246471101,30,60
100,TAG(51:4_FA18:2)+NH4,0.9990233176203153,0.9888870775937677,30,60
101,TAG(51:4_FA18:3)+NH4,1.0493033268168517,0.4335110784122034,30,60
102,TAG(52:0_FA20:0)+NH4,1.1354751826692646,0.0766159590171749,30,60
103,TAG(52:1_FA16:0)+NH4,0.9271512546041962,0.3550890629877981,30,60
104,TAG(52:1_FA18:1)+NH4,1.004419505104486,0.9653270420389888,30,60
105,TAG(52:1_FA20:0)+NH4,1.078907328179824,0.33774807416490094,30,60
106,TAG(52:2_FA16:0)+NH4,1.120390354442662,0.46610037402288584,30,60
107,TAG(52:2_FA18:2)+NH4,1.0489141059209373,0.3979470126455268,30,60
108,TAG(52:3_FA16:1)+NH4,1.0343469084115626,0.7842882893844998,30,60
109,TAG(52:3_FA18:2)+NH4,1.0671893041379799,0.40141949450143644,30,60
110,TAG(52:4_FA14:0)+NH4,0.9236021840212335,0.15541597943569915,30,60
111,TAG(52:4_FA16:0)+NH4,1.0572151520228565,0.5207541071386406,30,60
112,TAG(52:4_FA16:1)+NH4,1.2228753282937663,0.016457586126264013,30,60
113,TAG(52:4_FA18:1)+NH4,1.239637187474311,0.006117606512951984,30,60
114,TAG(52:4_FA18:3)+NH4,1.0070072262869356,0.951209365299925,30,60
115,TAG(52:4_FA20:3)+NH4,0.7761526302394767,0.04235084662699183,30,60
116,TAG(52:4_FA20:4)+NH4,1.0793341550978017,0.15099877750113597,30,60
117,TAG(52:5_FA14:0)+NH4,0.9033584340998785,0.1430034032423592,30,60
118,TAG(52:5_FA16:0)+NH4,1.1392933142145218,0.10249336344013926,30,60
119,TAG(52:5_FA18:2)+NH4,1.1720201598511426,0.06407867597464806,30,60
120,TAG(52:6_FA14:0)+NH4,0.9326337258610662,0.2683679338900124,30,60
121,TAG(52:6_FA16:0)+NH4,1.023324706419067,0.7349707275473231,30,60
122,TAG(52:6_FA18:3)+NH4,1.0861205009644108,0.43550017365862814,30,60
123,TAG(52:6_FA20:4)+NH4,1.1566013195479028,0.11857142446982688,30,60
124,TAG(52:6_FA22:6)+NH4,1.0702194300418415,0.24810826155260834,30,60
125,TAG(52:7_FA22:6)+NH4,0.9381153624613782,0.3293421039273796,30,60
126,TAG(53:1_FA16:0)+NH4,0.9638499105903013,0.7020016528522417,30,60
127,TAG(53:2_FA16:0)+NH4,1.196282224966466,0.151514132126544,30,60
128,TAG(53:2_FA17:0)+NH4,1.8444571476865654,,30,60
129,TAG(53:4_FA18:2)+NH4,0.9864344463869819,0.8913673760658307,30,60
130,TAG(54:1_FA20:0)+NH4,0.8931876321283709,0.14343111689103744,30,60
131,TAG(54:2_FA18:0)+NH4,1.1381438442065162,0.12738544846831437,30,60
132,TAG(54:2_FA18:1)+NH4,1.0804711580446698,0.42650044515014074,30,60
133,TAG(54:2_FA20:0)+NH4,1.0982993049374676,0.17183820420107862,30,60
134,TAG(54:2_FA20:1)+NH4,0.9932913701340025,0.9421386357016659,30,60
135,TAG(54:3_FA18:0)+NH4,1.1017050451260673,0.35576498844921134,30,60
136,TAG(54:4_FA18:0)+NH4,1.1042221604585385,0.3613118696011002,30,60
137,TAG(54:4_FA18:1)+NH4,1.1696841101207651,0.03484215470684897,30,60
138,TAG(54:4_FA20:3)+NH4,0.9523647892535687,0.5964392381342105,30,60
139,TAG(54:4_FA20:4)+NH4,1.0907697091369914,0.17585261656604015,30,60
140,TAG(54:5_FA16:0)+NH4,1.2163729924109055,0.18877078391886476,30,60
141,TAG(54:5_FA22:5)+NH4,1.120084138170906,0.21822376964326232,30,60
142,TAG(54:6_FA16:1)+NH4,1.1400915221533923,0.2027429203070934,30,60
143,TAG(54:6_FA18:1)+NH4,1.0418939249432129,0.6110074078696677,30,60
144,TAG(54:6_FA18:2)+NH4,1.098649249834761,0.2916798068910059,30,60
145,TAG(54:6_FA18:3)+NH4,1.1120369336717677,0.34921117151891623,30,60
146,TAG(54:6_FA22:5)+NH4,1.0818009256877779,0.37320355693885565,30,60
147,TAG(54:6_FA22:6)+NH4,1.1805021269382505,0.13227190107870257,30,60
148,TAG(54:7_FA18:2)+NH4,1.0956890645950528,0.20039637284837372,30,60
149,TAG(54:7_FA22:6)+NH4,1.0574356716174773,0.43546306741632224,30,60
150,TAG(54:8_FA18:2)+NH4,1.1053325800509983,0.24966201127044343,30,60
151,TAG(54:8_FA22:6)+NH4,1.0418148058967374,0.48466382185910883,30,60
152,TAG(55:1_FA16:0)+NH4,1.1175004792942607,0.20425453046747483,30,60
153,TAG(55:1_FA18:1)+NH4,1.0959464976959465,0.26275618386900595,30,60
154,TAG(56:5_FA16:0)+NH4,1.114579457442462,0.2386133980520898,30,60
