,metabolite,fc,p,TissueType1,TissueType2
0,Trimethylamine-N-oxide.1,1.0100225322190317,0.21440689321182926,striatum,cortex
1,Sarcosine.1,0.980527383085236,0.3291747927702958,striatum,cortex
2,L-Alanine.1,0.9756831689434148,9.643982641206278e-05,striatum,cortex
3,B-Alanine.1,1.021083895676303,0.0070730136010284704,striatum,cortex
4,Aminoisobutyric acid (BAIBA).1,1.0393350651103495,8.501799125074617e-06,striatum,cortex
5,L-Valine.1,0.994371834435533,0.2746421717790326,striatum,cortex
6,5-Aminovaleric Acid.1,0.9654041779376875,3.2420809108738494e-06,striatum,cortex
7,Threonine.1,0.9964601903153061,0.5235910481040278,striatum,cortex
8,Hydroxyproline,0.9874574298225387,0.2271201968755158,striatum,cortex
9,L-Asparagine.1,0.987203555933239,0.039855869714353793,striatum,cortex
10,Hypoxanthine.1,1.0041237150679534,0.5063497732191,striatum,cortex
11,L-Glutamine.1,0.9908804300361596,0.02934282004920896,striatum,cortex
12,Acetylcholine.1,1.0056871491305106,0.3516180204140674,striatum,cortex
13,Guanine.1,1.0136861849906635,0.04120338906249772,striatum,cortex
14,Xanthine.1,1.0093952081228574,0.14412171956737047,striatum,cortex
15,Dopamine.1,1.0159862250092426,0.19351664986127237,striatum,cortex
16,L-Carnitine (C0),1.0029202542671014,0.6086996986539015,striatum,cortex
17,Normetanephrine-H2O.1,1.0144669029158406,0.13389877474617864,striatum,cortex
18,1 or 3-Methyl-Histidine.1,0.9645674204205005,0.0021580220979363907,striatum,cortex
19,Citrulline.1,0.9539391209518089,9.505944269207291e-08,striatum,cortex
20,N-carbamoyl-L-aspartate.1,0.9478368612917429,0.0011833806408252572,striatum,cortex
21,Hippuric acid.1,1.0505149048532734,0.1935312804490475,striatum,cortex
22,L-Tyrosine.1,1.0105467890639304,0.09054035264747033,striatum,cortex
23,Homoarginine.1,0.9546106149998609,0.0061191419017068505,striatum,cortex
24,Symmetric Dimethylarginine.1,0.9802442779393621,0.05263136865178194,striatum,cortex
25,L-Acetylcarnitine (C2).1,1.005872071706482,0.14648923884296708,striatum,cortex
26,Lipoic Acid.1,0.9629199239507628,0.01678404993076627,striatum,cortex
27,Cystathionine.1,0.992524928447986,0.7062648415211588,striatum,cortex
28,3-Hydroxykynurenine.1,1.014923969426723,0.45392696481658845,striatum,cortex
29,2-Deoxycytide,0.9775152654680962,0.039646718578880254,striatum,cortex
30,Thymidine.1,1.014547456680993,0.19275529154612292,striatum,cortex
31,Deoxyadenosine.1,0.9646757644399709,0.00011199007591795706,striatum,cortex
32,Glycerophosphocholine.1,0.9964211127542293,0.5189493671950927,striatum,cortex
33,3-Hydroxyisovaleryl Carnitine,1.0125543982423755,0.0343666346676425,striatum,cortex
34,Deoxyguanosine.1,0.9974174477613614,0.8216382243415545,striatum,cortex
35,Inosine.1,1.005665731327516,0.35243277070222945,striatum,cortex
36,L-Glutarylcarnitine,0.9467287927569337,4.101468445792606e-05,striatum,cortex
37,Guanosine.1,1.0160453362782822,0.006444491133619369,striatum,cortex
38,2-Octenoylcarnitine,1.0388364953501594,0.027340854203625593,striatum,cortex
39,Glutathione.1,0.9397449356832265,0.32363305524668384,striatum,cortex
40,CMP.1,0.9020002311970048,0.023285587496306128,striatum,cortex
41,IMP.1,1.0086527187006964,0.9122370786166214,striatum,cortex
42,Myristoylcarnitine (C14).1,1.0040369265115079,0.47919104926262845,striatum,cortex
43,L-Palmitoylcarnitine (C16).1,0.9841677410149405,0.007691560698043689,striatum,cortex
44,ADP.1,0.9793721797926184,0.7687468741002172,striatum,cortex
45,GTP.1,1.0109755551426134,0.8826953402584758,striatum,cortex
46,acetyl-CoA_pos,0.9194104821661477,0.04981847180046603,striatum,cortex
47,2-Hydroxybutyrate.1,0.8447145812128874,0.0003091211456853795,striatum,cortex
48,Aspartic acid,0.9765553962009403,7.108584609248981e-05,striatum,cortex
49,Threonic acid.1,0.7795118773660505,4.049369397573924e-05,striatum,cortex
50,Anthranilate.1/2-Aminobenzoic acid/p-Aminobenzoic acid,1.006449846754781,0.6103745926664264,striatum,cortex
51,Xylose.1,1.008231498694638,0.28635808816293384,striatum,cortex
52,Xylitol/Arabitol,0.977308612857606,0.030221699326015542,striatum,cortex
53,Allantoin.1,1.0702484554083076,0.0013902293873612563,striatum,cortex
54,2-Aminoadipic acid/Indole-3-carboxylic acid,0.9175552518716696,3.444142253393605e-05,striatum,cortex
55,Urate.1,0.9997799293073426,0.9860640010294216,striatum,cortex
56,sn-glycerol-3-phosphate.1,1.0069008808840427,0.38317505316753564,striatum,cortex
57,Ascorbic acid.1,0.9807877500165274,0.7532324608364962,striatum,cortex
58,2/3-Phosphoglyceric acid.2,0.9008957616748062,0.13254498945702417,striatum,cortex
59,Isocitric_Citric_acid.1,0.9265527860483435,0.2888873515582542,striatum,cortex
60,Xanthurenic Acid.1,0.883058830791111,5.046449411773929e-05,striatum,cortex
61,Phenylacetylglutamine or Pantothenate.1,1.0414426299234074,6.587625745634173e-09,striatum,cortex
62,Deoxyinosine.1,1.0003708515514131,0.9839025105894976,striatum,cortex
63,G6P.1,0.9217005663934545,0.02114093167633253,striatum,cortex
64,Deoxyguanosine.2,0.9951816160521422,0.7268436519474857,striatum,cortex
65,Argininosuccinic acid.1,0.8866252811152254,0.013331144829923518,striatum,cortex
66,N-Acetyl-aspartyl-glutamate.1,0.9862913985084965,0.5489469802404053,striatum,cortex
67,Cyclic-AMP.1,0.8935955591297186,0.0551660221726927,striatum,cortex
68,"Fructose-1,6-diphosphate",1.201081254166192,0.014353771247937588,striatum,cortex
69,S-adenosyl-L-homocysteine.1,1.0800614821797867,6.112257556907532e-10,striatum,cortex
70,ATP.2,0.9275010622876061,0.06808334987710936,striatum,cortex
