,lipid,fc,p,Sex1,Sex2
0,SM(14:0)+H,1.008105346103493,0.421389848779095,M,F
1,SM(16:0)+H,1.002153645514165,0.8744957020881973,M,F
2,SM(18:0)+H,1.0016159161242093,0.9572150747652459,M,F
3,SM(18:1)+H,0.9992279554912485,0.9669041830369629,M,F
4,SM(20:0)+H,0.9872176688863086,0.6055528113298212,M,F
5,SM(20:1)+H,0.98662029634924,0.3363975417368382,M,F
6,SM(22:1)+H,0.9743723001137198,0.6932584303956004,M,F
7,SM(24:0)+H,0.9500470990753368,0.3649480823675504,M,F
8,SM(24:1)+H,0.9991311036552887,0.97366389836445,M,F
9,SM(26:0)+H,1.03573923204365,0.4196502704314028,M,F
10,CE(22:6)+H,1.0559210793803666,0.6247527571649599,M,F
11,CE(14:0)+H,1.030938253270504,0.42296058849689966,M,F
12,CE(16:1)+H,0.9994634473760035,0.9928123615632172,M,F
13,CE(18:0)+H,0.9520834120109595,0.495892054816502,M,F
14,CE(18:1)+H,1.0243146360519095,0.5590008037344627,M,F
15,CE(20:3)+H,1.0037272076084773,0.9526169726107643,M,F
16,CE(20:4)+H,1.0354308842148865,0.590809028509475,M,F
17,CE(20:5)+H,1.0443179472684587,0.39898456493182743,M,F
18,CE(22:2)+H,0.9281874774588784,0.125647981686017,M,F
19,CE(24:1)+H,1.0213724182983406,0.6744917233154406,M,F
20,CER(14:0)+H,1.0281828243646403,0.09842985528340079,M,F
21,CER(16:0)+H,1.0043804747868246,0.7510167903651865,M,F
22,CER(18:0)+H,1.0031517938510208,0.8288769387151826,M,F
23,CER(18:1)+H,1.007566181788371,0.5692119191745287,M,F
24,CER(20:0)+H,1.002152219064459,0.8592963805436321,M,F
25,CER(20:1)+H,1.015152129577432,0.35283252456188885,M,F
26,CER(22:0)+H,1.020035278986406,0.08927832091355453,M,F
27,CER(22:1)+H,1.0021103425876439,0.8896747614861993,M,F
28,CER(24:0)+H,0.9841930483129031,0.3203090767309528,M,F
29,CER(24:1)+H,0.9940054834024172,0.7995955637786731,M,F
30,CER(26:1)+H,1.009126208772757,0.6091918924738772,M,F
31,DCER(14:0)+H,1.015369505367303,0.36279061032206206,M,F
32,DCER(16:0)+H,1.0232545815353187,0.221799663292853,M,F
33,DCER(18:0)+H,1.0077802523599702,0.4858813090221116,M,F
34,DCER(18:1)+H,0.9984855159038397,0.918101055510634,M,F
35,DCER(20:0)+H,1.0011338510158538,0.9494981691083797,M,F
36,DCER(20:1)+H,1.0245272603576314,0.12406685212016712,M,F
37,DCER(22:0)+H,1.0110794010747155,0.5737713471635588,M,F
38,DCER(22:1)+H,0.9885782561834792,0.46978931073490204,M,F
39,DCER(24:0)+H,0.9904858998854428,0.592199385768835,M,F
40,DCER(24:1)+H,0.9839675842315789,0.2647747568513789,M,F
41,DCER(26:0)+H,1.0052628000951882,0.7394196275425643,M,F
42,DCER(26:1)+H,1.0076359938009831,0.8061065286076845,M,F
43,HCER(14:0)+H,1.0119510703865664,0.36050600852077286,M,F
44,HCER(16:0)+H,1.0222670486050733,0.13495659483369996,M,F
45,HCER(18:0)+H,0.9988054376721293,0.9428807239564925,M,F
46,HCER(18:1)+H,1.0183190421123214,0.32740505868657366,M,F
47,HCER(20:0)+H,1.0087355666861706,0.5285498944261751,M,F
48,HCER(20:1)+H,1.0003324812135865,0.9829443361759584,M,F
49,HCER(22:0)+H,1.002866787323343,0.8315829822743818,M,F
50,HCER(22:1)+H,1.0046932596236982,0.792586259876302,M,F
51,HCER(24:0)+H,1.0002864697805145,0.9855722366938803,M,F
52,HCER(24:1)+H,1.0123222750674519,0.5959240206955954,M,F
53,HCER(26:0)+H,0.9767989729947925,0.1736609358533299,M,F
54,HCER(26:1)+H,0.9955262958883158,0.7452212612931187,M,F
55,HCER(d18:0_18:0)+H,0.9854790773984522,0.3197783256224421,M,F
56,HCER(d18:0_22:0)+H,1.025814026879255,0.17364965597731813,M,F
57,HCER(d18:0_24:0)+H,1.007232088332207,0.619977715244246,M,F
58,HCER(d18:0_24:1)+H,0.9927382069500766,0.5591902958998265,M,F
59,LCER(14:0)+H,1.0001813226680096,0.9899417525395751,M,F
60,LCER(16:0)+H,1.0059498822386954,0.7215419565265666,M,F
61,LCER(18:0)+H,1.0105045780865896,0.549141801786891,M,F
62,LCER(26:1)+H,1.0184389869750536,0.49864431929523123,M,F
63,LCER(d18:0_20:0)+H,1.0357941462902065,0.16082351519747667,M,F
64,TAG(44:1_FA16:1)+NH4,0.9677786305065457,0.4898612471821797,M,F
65,TAG(44:2_FA16:1)+NH4,1.00638557403474,0.8862975003418282,M,F
66,TAG(44:3_FA18:2)+NH4,0.9496876255402389,0.3234948561297042,M,F
67,TAG(45:1_FA16:0)+NH4,0.9428261458605668,0.2726292521049875,M,F
68,TAG(46:0_FA18:0)+NH4,1.0003838691670914,0.9938904494315556,M,F
69,TAG(46:1_FA18:1)+NH4,0.9822085570983394,0.7489479688784275,M,F
70,TAG(46:2_FA16:1)+NH4,0.9908125674122781,0.8606542766622887,M,F
71,TAG(46:2_FA18:1)+NH4,1.021254756446624,0.6569872121587167,M,F
72,TAG(46:2_FA18:2)+NH4,1.0240250692855046,0.6731239655908476,M,F
73,TAG(46:3_FA16:1)+NH4,0.9190700988409248,0.10099731117091802,M,F
74,TAG(46:3_FA18:1)+NH4,1.0120848525802901,0.8641610709256379,M,F
75,TAG(46:3_FA18:2)+NH4,1.007741129518729,0.9018681480393042,M,F
76,TAG(46:3_FA18:3)+NH4,1.0624970696229827,0.31049361718767676,M,F
77,TAG(46:4_FA18:2)+NH4,1.1163350646656176,0.050094102904991646,M,F
78,TAG(47:0_FA17:0)+NH4,0.975716895510691,0.6119513292937939,M,F
79,TAG(47:1_FA17:0)+NH4,0.966763619023214,0.4493623066968757,M,F
80,TAG(48:1_FA14:0)+NH4,0.9782624305563306,0.7234421707311895,M,F
81,TAG(48:1_FA16:0)+NH4,1.045067024362848,0.1382546530201404,M,F
82,TAG(48:1_FA16:1)+NH4,1.0623690754269979,0.2812456234147016,M,F
83,TAG(48:2_FA14:0)+NH4,1.0273137447813552,0.5666342940408688,M,F
84,TAG(48:2_FA16:1)+NH4,0.9524543749475368,0.2776887579616822,M,F
85,TAG(48:3_FA14:0)+NH4,0.9821906014353087,0.7529863809402862,M,F
86,TAG(48:3_FA16:1)+NH4,0.958962199744149,0.5447715757688203,M,F
87,TAG(48:3_FA18:1)+NH4,1.0068883007332619,0.9455899185432712,M,F
88,TAG(48:3_FA18:2)+NH4,1.0090477326864753,0.9189293206338451,M,F
89,TAG(48:4_FA18:2)+NH4,1.0813946654073296,0.2943615927677432,M,F
90,TAG(48:4_FA18:3)+NH4,1.0373138526251287,0.5210620258335703,M,F
91,TAG(48:5_FA18:3)+NH4,1.0201391277586311,0.7733597374113703,M,F
